"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","selact.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130913092123.csv 10",,,,"Date:","13 Sep 2013 09:21:24 CEST"

"system","memory usage",,,
13-09 09:35:34,4144074752.0,52092928.0,932450304.0,7464955904.0
13-09 09:35:44,4163264512.0,52109312.0,932450304.0,7445749760.0
13-09 09:35:54,4195266560.0,52158464.0,934268928.0,7411879936.0
13-09 09:36:04,4237443072.0,52174848.0,934350848.0,7369605120.0
13-09 09:36:14,4260384768.0,52191232.0,934350848.0,7346647040.0
13-09 09:36:24,4285603840.0,52207616.0,934350848.0,7321411584.0
13-09 09:36:34,4300472320.0,52215808.0,934350848.0,7306534912.0
13-09 09:36:44,4334985216.0,52232192.0,934359040.0,7271997440.0
13-09 09:36:54,4356689920.0,52248576.0,934367232.0,7250268160.0
13-09 09:37:04,4365938688.0,52256768.0,934363136.0,7241015296.0
13-09 09:37:14,4374863872.0,52273152.0,934363136.0,7232073728.0
13-09 09:37:24,4443406336.0,52281344.0,934363136.0,7163523072.0
13-09 09:37:34,4453842944.0,52289536.0,934363136.0,7153078272.0
13-09 09:37:44,4506341376.0,52314112.0,934424576.0,7100493824.0
13-09 09:37:54,4765347840.0,52367360.0,934383616.0,6841475072.0
13-09 09:38:04,5026201600.0,52400128.0,934457344.0,6580514816.0
13-09 09:38:14,5038157824.0,52424704.0,934449152.0,6568542208.0
13-09 09:38:24,5050822656.0,52432896.0,934457344.0,6555860992.0
13-09 09:38:34,5063393280.0,52441088.0,934465536.0,6543273984.0
13-09 09:38:44,5458198528.0,52477952.0,934539264.0,6148358144.0
13-09 09:38:54,5673385984.0,52510720.0,934641664.0,5933035520.0
13-09 09:39:04,5733720064.0,52527104.0,934637568.0,5872689152.0
13-09 09:39:14,5746761728.0,52543488.0,934637568.0,5859631104.0
13-09 09:39:24,5750980608.0,52559872.0,934637568.0,5855395840.0
13-09 09:39:34,5763194880.0,52568064.0,934637568.0,5843173376.0
13-09 09:39:44,5775388672.0,52584448.0,934637568.0,5830963200.0
13-09 09:39:54,5787168768.0,52600832.0,934629376.0,5819174912.0
13-09 09:40:04,5800693760.0,52637696.0,934629376.0,5805613056.0
13-09 09:40:14,5813432320.0,52654080.0,934637568.0,5792849920.0
13-09 09:40:24,5824970752.0,52670464.0,934637568.0,5781295104.0
13-09 09:40:34,5837135872.0,52678656.0,934637568.0,5769121792.0
13-09 09:40:44,5849427968.0,52695040.0,934637568.0,5756813312.0
13-09 09:40:54,5861470208.0,52711424.0,934641664.0,5744750592.0
13-09 09:41:04,5873639424.0,52719616.0,934637568.0,5732577280.0
13-09 09:41:14,5885247488.0,52736000.0,934637568.0,5720952832.0
13-09 09:41:24,5897154560.0,52752384.0,934649856.0,5709017088.0
13-09 09:41:34,5909348352.0,52760576.0,934637568.0,5696827392.0
13-09 09:41:44,5921521664.0,52776960.0,934637568.0,5684637696.0
13-09 09:41:54,5933813760.0,52793344.0,934645760.0,5672321024.0
13-09 09:42:04,5946011648.0,52801536.0,934645760.0,5660114944.0
13-09 09:42:14,5958041600.0,52817920.0,934645760.0,5648068608.0
13-09 09:42:24,5970214912.0,52834304.0,934645760.0,5635878912.0
13-09 09:42:34,5983023104.0,52854784.0,934649856.0,5623046144.0
13-09 09:42:44,5964496896.0,52871168.0,934649856.0,5641555968.0
13-09 09:42:54,5979951104.0,52887552.0,934653952.0,5626081280.0
13-09 09:43:04,5995585536.0,52903936.0,934621184.0,5610463232.0
13-09 09:43:14,6010761216.0,52920320.0,934621184.0,5595271168.0
13-09 09:43:24,6026371072.0,52928512.0,934621184.0,5579653120.0
13-09 09:43:34,6041718784.0,52944896.0,934621184.0,5564289024.0
13-09 09:43:44,6057193472.0,52961280.0,934621184.0,5548797952.0
13-09 09:43:54,6072795136.0,52977664.0,934621184.0,5533179904.0
13-09 09:44:04,6088228864.0,52994048.0,934621184.0,5517729792.0
13-09 09:44:14,6103728128.0,53010432.0,934621184.0,5502214144.0
13-09 09:44:24,6119583744.0,53018624.0,934629376.0,5486342144.0
13-09 09:44:34,6135058432.0,53035008.0,934621184.0,5470859264.0
13-09 09:44:44,6150660096.0,53051392.0,934621184.0,5455241216.0
13-09 09:44:54,6166151168.0,53059584.0,934621184.0,5439741952.0
13-09 09:45:04,6181642240.0,53075968.0,934621184.0,5424234496.0
13-09 09:45:14,6197092352.0,53092352.0,934621184.0,5408768000.0
13-09 09:45:24,6212829184.0,53100544.0,934621184.0,5393022976.0
13-09 09:45:34,6228312064.0,53116928.0,934612992.0,5377531904.0
13-09 09:45:44,6245683200.0,53133312.0,934621184.0,5360136192.0
13-09 09:45:54,6252531712.0,53141504.0,934621184.0,5353279488.0
13-09 09:46:04,6268047360.0,53157888.0,934612992.0,5337755648.0
13-09 09:46:14,6283632640.0,53174272.0,934621184.0,5322145792.0
13-09 09:46:24,6298988544.0,53182464.0,934621184.0,5306781696.0
13-09 09:46:34,6314598400.0,53190656.0,934621184.0,5291163648.0
13-09 09:46:44,6330327040.0,53207040.0,934621184.0,5275418624.0
13-09 09:46:54,6350245888.0,53223424.0,934621184.0,5255483392.0
13-09 09:47:04,6374408192.0,53231616.0,934621184.0,5231312896.0
13-09 09:47:14,6567157760.0,53248000.0,934621184.0,5038546944.0
