"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","striatum.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130912174800.csv 10",,,,"Date:","12 Sep 2013 17:48:00 CEST"

"system","memory usage",,,
12-09 17:55:40,7331528704.0,219344896.0,1227370496.0,8006139904.0
12-09 17:55:50,7347384320.0,219361280.0,1227370496.0,7990267904.0
12-09 17:56:00,7380127744.0,219377664.0,1227370496.0,7957508096.0
12-09 17:56:10,7433957376.0,219385856.0,1227370496.0,7903670272.0
12-09 17:56:20,7504031744.0,219394048.0,1227370496.0,7833587712.0
12-09 17:56:30,7580454912.0,219410432.0,1227370496.0,7757148160.0
12-09 17:56:40,7650545664.0,219418624.0,1227370496.0,7687049216.0
12-09 17:56:50,7702708224.0,219435008.0,1227370496.0,7634870272.0
12-09 17:57:00,7762178048.0,219459584.0,1227370496.0,7575375872.0
12-09 17:57:10,8215064576.0,219475968.0,1227661312.0,7122182144.0
12-09 17:57:20,8242475008.0,219492352.0,1227661312.0,7094755328.0
12-09 17:57:30,8259973120.0,219508736.0,1227669504.0,7077232640.0
12-09 17:57:40,8296652800.0,219525120.0,1227669504.0,7040536576.0
12-09 17:57:50,8297906176.0,219541504.0,1227669504.0,7039266816.0
12-09 17:58:00,8308555776.0,219557888.0,1227669504.0,7028600832.0
12-09 17:58:10,8320102400.0,219566080.0,1227669504.0,7017046016.0
12-09 17:58:20,8331649024.0,219574272.0,1227669504.0,7005491200.0
12-09 17:58:30,8342052864.0,219590656.0,1227661312.0,6995079168.0
12-09 17:58:40,8356884480.0,219607040.0,1227669504.0,6980222976.0
12-09 17:58:50,8371351552.0,219615232.0,1227669504.0,6965747712.0
12-09 17:59:00,8386445312.0,219631616.0,1227669504.0,6950637568.0
12-09 17:59:10,8401928192.0,219639808.0,1227669504.0,6935146496.0
12-09 17:59:20,8422100992.0,219656192.0,1227669504.0,6914957312.0
12-09 17:59:30,8441647104.0,219672576.0,1227661312.0,6895403008.0
12-09 17:59:40,8458645504.0,219680768.0,1227669504.0,6878388224.0
12-09 17:59:50,8471580672.0,219697152.0,1227669504.0,6865436672.0
12-09 18:00:00,8487690240.0,219713536.0,1227669504.0,6849310720.0
12-09 18:00:10,8502792192.0,219721728.0,1227669504.0,6834200576.0
12-09 18:00:20,8518520832.0,219738112.0,1227669504.0,6818455552.0
12-09 18:00:30,8533995520.0,219754496.0,1227669504.0,6802964480.0
12-09 18:00:40,8548716544.0,219770880.0,1227669504.0,6788227072.0
12-09 18:00:50,8564428800.0,219795456.0,1227669504.0,6772490240.0
12-09 18:01:00,8585261056.0,219811840.0,1227669504.0,6751641600.0
12-09 18:01:10,8600719360.0,219820032.0,1227669504.0,6736175104.0
12-09 18:01:20,8616218624.0,219828224.0,1227669504.0,6720667648.0
12-09 18:01:30,8642699264.0,219852800.0,1227669504.0,6694162432.0
12-09 18:01:40,8658452480.0,219860992.0,1227669504.0,6678401024.0
12-09 18:01:50,8673800192.0,219877376.0,1227669504.0,6663036928.0
12-09 18:02:00,8698155008.0,219901952.0,1227669504.0,6638657536.0
12-09 18:02:10,8713613312.0,219910144.0,1227669504.0,6623191040.0
12-09 18:02:20,8728088576.0,219926528.0,1227669504.0,6608699392.0
12-09 18:02:30,8744198144.0,219942912.0,1227669504.0,6592573440.0
12-09 18:02:40,8759713792.0,219951104.0,1227669504.0,6577049600.0
12-09 18:02:50,8774918144.0,219967488.0,1227669504.0,6561828864.0
12-09 18:03:00,8790630400.0,219983872.0,1227669504.0,6546100224.0
12-09 18:03:10,8805978112.0,220000256.0,1227669504.0,6530736128.0
12-09 18:03:20,8821997568.0,220012544.0,1227669504.0,6514704384.0
12-09 18:03:30,8838090752.0,220028928.0,1227669504.0,6498594816.0
12-09 18:03:40,8852914176.0,220045312.0,1227669504.0,6483755008.0
12-09 18:03:50,8867880960.0,220061696.0,1227669504.0,6468771840.0
12-09 18:04:00,8882982912.0,220078080.0,1227661312.0,6453661696.0
12-09 18:04:10,8899751936.0,220094464.0,1227669504.0,6436868096.0
12-09 18:04:20,8914599936.0,220102656.0,1227669504.0,6422011904.0
12-09 18:04:30,8930955264.0,220119040.0,1227661312.0,6405648384.0
12-09 18:04:40,8946057216.0,220135424.0,1227669504.0,6390521856.0
12-09 18:04:50,8967770112.0,220151808.0,1227669504.0,6368792576.0
12-09 18:05:00,8983863296.0,220168192.0,1227669504.0,6352683008.0
12-09 18:05:10,8999751680.0,220176384.0,1227677696.0,6336778240.0
12-09 18:05:20,9014558720.0,220192768.0,1227677696.0,6321954816.0
12-09 18:05:30,9030160384.0,220209152.0,1227677696.0,6306336768.0
12-09 18:05:40,9053294592.0,220217344.0,1227677696.0,6283194368.0
12-09 18:05:50,9077022720.0,220233728.0,1227677696.0,6259449856.0
12-09 18:06:00,9092100096.0,220250112.0,1227677696.0,6244356096.0
12-09 18:06:10,9107218432.0,220258304.0,1227677696.0,6229229568.0
12-09 18:06:20,9123201024.0,220274688.0,1227677696.0,6213230592.0
12-09 18:06:30,9139056640.0,220291072.0,1227677696.0,6197358592.0
12-09 18:06:40,9153556480.0,220299264.0,1227677696.0,6182850560.0
12-09 18:06:50,9189982208.0,220315648.0,1227677696.0,6146408448.0
12-09 18:07:00,9205272576.0,220340224.0,1227669504.0,6131101696.0
12-09 18:07:10,9220890624.0,220348416.0,1227677696.0,6115467264.0
12-09 18:07:20,9236619264.0,220364800.0,1227677696.0,6099722240.0
12-09 18:07:30,9251586048.0,220381184.0,1227677696.0,6084739072.0
12-09 18:07:40,9334161408.0,220389376.0,1227677696.0,6002155520.0
12-09 18:07:50,9350770688.0,220405760.0,1227685888.0,5985521664.0
12-09 18:08:00,9366372352.0,220422144.0,1227685888.0,5969903616.0
12-09 18:08:10,9383903232.0,220430336.0,1227685888.0,5952364544.0
12-09 18:08:20,9400774656.0,220446720.0,1227685888.0,5935476736.0
12-09 18:08:30,9416749056.0,220471296.0,1227685888.0,5919477760.0
12-09 18:08:40,9433120768.0,220479488.0,1227685888.0,5903097856.0
12-09 18:08:50,9449857024.0,220495872.0,1227685888.0,5886345216.0
12-09 18:09:00,9466855424.0,220512256.0,1227685888.0,5869330432.0
12-09 18:09:10,9483259904.0,220520448.0,1227685888.0,5852917760.0
12-09 18:09:20,9500004352.0,220528640.0,1227685888.0,5836165120.0
12-09 18:09:30,9516257280.0,220545024.0,1227685888.0,5819895808.0
12-09 18:09:40,9532342272.0,220553216.0,1227685888.0,5803802624.0
12-09 18:09:50,9548451840.0,220569600.0,1227685888.0,5787676672.0
12-09 18:10:00,9565958144.0,220585984.0,1227685888.0,5770153984.0
12-09 18:10:10,9581821952.0,220594176.0,1227685888.0,5754281984.0
12-09 18:10:20,9598828544.0,220602368.0,1227685888.0,5737267200.0
12-09 18:10:30,9615335424.0,220618752.0,1227685888.0,5720743936.0
12-09 18:10:40,9631748096.0,220626944.0,1227685888.0,5704323072.0
12-09 18:10:50,9648467968.0,220643328.0,1227685888.0,5687586816.0
12-09 18:11:00,9664458752.0,220667904.0,1227685888.0,5671571456.0
12-09 18:11:10,9680879616.0,220676096.0,1227685888.0,5655142400.0
12-09 18:11:20,9697853440.0,220684288.0,1227685888.0,5638160384.0
12-09 18:11:30,9713725440.0,220700672.0,1227685888.0,5622272000.0
12-09 18:11:40,9730383872.0,220708864.0,1227685888.0,5605605376.0
12-09 18:11:50,9746874368.0,220725248.0,1227685888.0,5589098496.0
12-09 18:12:00,9762459648.0,220741632.0,1227685888.0,5573496832.0
12-09 18:12:10,9779490816.0,220758016.0,1227685888.0,5556449280.0
12-09 18:12:20,9796878336.0,220766208.0,1227685888.0,5539053568.0
12-09 18:12:30,9813377024.0,220782592.0,1227685888.0,5522538496.0
12-09 18:12:40,9842327552.0,220798976.0,1227685888.0,5493571584.0
12-09 18:12:50,9858547712.0,220815360.0,1227685888.0,5477335040.0
12-09 18:13:00,9875427328.0,220823552.0,1227685888.0,5460447232.0
12-09 18:13:10,9891282944.0,220839936.0,1227685888.0,5444575232.0
12-09 18:13:20,10175184896.0,220856320.0,1227685888.0,5160656896.0
12-09 18:13:30,10195533824.0,220872704.0,1227685888.0,5140291584.0
12-09 18:13:40,10213761024.0,220880896.0,1227685888.0,5122056192.0
12-09 18:13:50,10233315328.0,220897280.0,1227685888.0,5102485504.0
12-09 18:14:00,10253099008.0,220905472.0,1227685888.0,5082693632.0
12-09 18:14:10,10272923648.0,220921856.0,1227685888.0,5062852608.0
12-09 18:14:20,10291572736.0,220938240.0,1227685888.0,5044187136.0
12-09 18:14:30,10361409536.0,220954624.0,1227685888.0,4974333952.0
12-09 18:14:40,10379939840.0,220962816.0,1227685888.0,4955795456.0
12-09 18:14:50,10400096256.0,220979200.0,1227685888.0,4935622656.0
12-09 18:15:00,10419888128.0,220995584.0,1227685888.0,4915814400.0
12-09 18:15:10,10439086080.0,221003776.0,1227685888.0,4896608256.0
12-09 18:15:20,10458361856.0,221028352.0,1227685888.0,4877307904.0
12-09 18:15:30,10477535232.0,221044736.0,1227685888.0,4858118144.0
12-09 18:15:40,10496684032.0,221052928.0,1227685888.0,4838961152.0
12-09 18:15:50,10516348928.0,221069312.0,1227685888.0,4819279872.0
12-09 18:16:00,10536427520.0,221085696.0,1227685888.0,4799184896.0
12-09 18:16:10,10555101184.0,221093888.0,1227685888.0,4780503040.0
12-09 18:16:20,10574512128.0,221110272.0,1227685888.0,4761075712.0
12-09 18:16:30,10594938880.0,221126656.0,1227685888.0,4740632576.0
12-09 18:16:40,10638372864.0,221134848.0,1227685888.0,4697190400.0
12-09 18:16:50,10657673216.0,221151232.0,1227685888.0,4677873664.0
12-09 18:17:00,10676576256.0,221175808.0,1227677696.0,4658954240.0
12-09 18:17:10,10695852032.0,221192192.0,1227685888.0,4639653888.0
12-09 18:17:20,10715144192.0,221200384.0,1227685888.0,4620353536.0
12-09 18:17:30,10735075328.0,221216768.0,1227681792.0,4600410112.0
12-09 18:17:40,10754228224.0,221233152.0,1227685888.0,4581236736.0
12-09 18:17:50,10772750336.0,221249536.0,1227685888.0,4562698240.0
12-09 18:18:00,10791772160.0,221257728.0,1227685888.0,4543668224.0
12-09 18:18:10,10811428864.0,221274112.0,1227694080.0,4523986944.0
12-09 18:18:20,10964537344.0,221282304.0,1227694080.0,4370870272.0
12-09 18:18:30,10984734720.0,221298688.0,1227685888.0,4350664704.0
12-09 18:18:40,11005161472.0,221306880.0,1227694080.0,4330221568.0
12-09 18:18:50,11024826368.0,221323264.0,1227694080.0,4310540288.0
12-09 18:19:00,11045515264.0,221331456.0,1227694080.0,4289843200.0
12-09 18:19:10,11065847808.0,221347840.0,1227694080.0,4269494272.0
12-09 18:19:20,11086106624.0,221356032.0,1227694080.0,4249227264.0
12-09 18:19:30,11106557952.0,221372416.0,1227694080.0,4228759552.0
12-09 18:19:40,11125956608.0,221388800.0,1227689984.0,4209348608.0
12-09 18:19:50,11146379264.0,221396992.0,1227694080.0,4188913664.0
12-09 18:20:00,11166957568.0,221405184.0,1227694080.0,4168327168.0
12-09 18:20:10,11187761152.0,221429760.0,1227689984.0,4147503104.0
12-09 18:20:20,11207794688.0,221437952.0,1227694080.0,4127457280.0
12-09 18:20:30,11226968064.0,221454336.0,1227694080.0,4108267520.0
12-09 18:20:40,11247689728.0,221462528.0,1227694080.0,4087537664.0
12-09 18:20:50,11268022272.0,221478912.0,1227694080.0,4067188736.0
12-09 18:21:00,11288170496.0,221487104.0,1227694080.0,4047032320.0
12-09 18:21:10,11308986368.0,221511680.0,1227694080.0,4026191872.0
12-09 18:21:20,11328905216.0,221528064.0,1227694080.0,4006256640.0
12-09 18:21:30,11348189184.0,221626368.0,1228496896.0,3986071552.0
12-09 18:21:40,11367489536.0,221634560.0,1228496896.0,3966763008.0
12-09 18:21:50,11388178432.0,221650944.0,1228496896.0,3946057728.0
12-09 18:22:00,11408740352.0,221675520.0,1228496896.0,3925471232.0
12-09 18:22:10,11429318656.0,221683712.0,1228496896.0,3904884736.0
12-09 18:22:20,11449643008.0,221691904.0,1228496896.0,3884552192.0
12-09 18:22:30,11469942784.0,221708288.0,1228496896.0,3864236032.0
12-09 18:22:40,11489353728.0,221716480.0,1228505088.0,3844808704.0
12-09 18:22:50,11509907456.0,221732864.0,1228505088.0,3824238592.0
12-09 18:23:00,11530715136.0,221749248.0,1228505088.0,3803414528.0
12-09 18:23:10,11551141888.0,221765632.0,1228505088.0,3782971392.0
12-09 18:23:20,11570180096.0,221773824.0,1228505088.0,3763924992.0
12-09 18:23:30,11590606848.0,221790208.0,1228505088.0,3743481856.0
12-09 18:23:40,11611279360.0,221798400.0,1228505088.0,3722801152.0
12-09 18:23:50,11631595520.0,221814784.0,1228505088.0,3702468608.0
12-09 18:24:00,11652300800.0,221831168.0,1228496896.0,3681755136.0
12-09 18:24:10,11672457216.0,221839360.0,1228505088.0,3661582336.0
12-09 18:24:20,11691749376.0,221847552.0,1228505088.0,3642281984.0
12-09 18:24:30,11713998848.0,221855744.0,1228505088.0,3620024320.0
12-09 18:24:40,11733147648.0,221872128.0,1228505088.0,3600859136.0
12-09 18:24:50,11753676800.0,221888512.0,1228505088.0,3580313600.0
12-09 18:25:00,11774078976.0,221896704.0,1228505088.0,3559903232.0
12-09 18:25:10,11794849792.0,221921280.0,1228500992.0,3539111936.0
12-09 18:25:20,11814391808.0,221929472.0,1228505088.0,3519557632.0
12-09 18:25:30,11835437056.0,221945856.0,1228505088.0,3498496000.0
12-09 18:25:40,11855642624.0,221954048.0,1228505088.0,3478282240.0
12-09 18:25:50,11875045376.0,221970432.0,1228505088.0,3458863104.0
12-09 18:26:00,11895353344.0,221978624.0,1228505088.0,3438546944.0
12-09 18:26:10,11915907072.0,221995008.0,1228505088.0,3417976832.0
12-09 18:26:20,11936223232.0,222011392.0,1228505088.0,3397644288.0
12-09 18:26:30,11956465664.0,222027776.0,1228505088.0,3377385472.0
12-09 18:26:40,11976630272.0,222035968.0,1228505088.0,3357212672.0
12-09 18:26:50,11996819456.0,222052352.0,1228505088.0,3337007104.0
12-09 18:27:00,12017094656.0,222076928.0,1228505088.0,3316707328.0
12-09 18:27:10,12037259264.0,222085120.0,1228505088.0,3296534528.0
12-09 18:27:20,12057575424.0,222101504.0,1228505088.0,3276201984.0
12-09 18:27:30,12078018560.0,222117888.0,1228505088.0,3255742464.0
12-09 18:27:40,12098453504.0,222134272.0,1228505088.0,3235291136.0
12-09 18:27:50,12118474752.0,222150656.0,1228505088.0,3215253504.0
12-09 18:28:00,12139028480.0,222167040.0,1228505088.0,3194683392.0
12-09 18:28:10,12159209472.0,222175232.0,1228505088.0,3174494208.0
12-09 18:28:20,12204642304.0,222191616.0,1228513280.0,3129036800.0
12-09 18:28:30,12225196032.0,222208000.0,1228513280.0,3108466688.0
12-09 18:28:40,12245377024.0,222216192.0,1228513280.0,3088277504.0
12-09 18:28:50,12265406464.0,222232576.0,1228513280.0,3068231680.0
12-09 18:29:00,12285726720.0,222248960.0,1228509184.0,3047899136.0
12-09 18:29:10,12306030592.0,222257152.0,1228513280.0,3027582976.0
12-09 18:29:20,12326465536.0,222265344.0,1228513280.0,3007139840.0
12-09 18:29:30,12346646528.0,222281728.0,1228513280.0,2986942464.0
12-09 18:29:40,12366868480.0,222289920.0,1228513280.0,2966712320.0
12-09 18:29:50,12386873344.0,222306304.0,1228513280.0,2946691072.0
12-09 18:30:00,12405776384.0,222322688.0,1228513280.0,2927771648.0
12-09 18:30:10,12426473472.0,222339072.0,1228513280.0,2907058176.0
12-09 18:30:20,12446478336.0,222347264.0,1228513280.0,2887045120.0
12-09 18:30:30,12466270208.0,222363648.0,1228513280.0,2867236864.0
12-09 18:30:40,12487847936.0,222371840.0,1228513280.0,2845650944.0
12-09 18:30:50,12508131328.0,222388224.0,1228513280.0,2825351168.0
12-09 18:31:00,12527710208.0,222396416.0,1228513280.0,2805764096.0
12-09 18:31:10,12548644864.0,222412800.0,1228513280.0,2784813056.0
12-09 18:31:20,12569333760.0,222420992.0,1228513280.0,2764115968.0
12-09 18:31:30,12588974080.0,222445568.0,1228513280.0,2744451072.0
12-09 18:31:40,12607377408.0,222461952.0,1228513280.0,2726031360.0
12-09 18:31:50,12661071872.0,222470144.0,1228513280.0,2672328704.0
12-09 18:32:00,12731654144.0,222486528.0,1228513280.0,2601730048.0
12-09 18:32:10,12752224256.0,222511104.0,1228505088.0,2581143552.0
12-09 18:32:20,12772380672.0,222519296.0,1228513280.0,2560970752.0
12-09 18:32:30,12792680448.0,222535680.0,1228513280.0,2540654592.0
12-09 18:32:40,12812742656.0,222543872.0,1228513280.0,2520584192.0
12-09 18:32:50,12833304576.0,222560256.0,1228513280.0,2500005888.0
12-09 18:33:00,12853579776.0,222568448.0,1228513280.0,2479722496.0
12-09 18:33:10,12873785344.0,222584832.0,1228513280.0,2459500544.0
12-09 18:33:20,12894068736.0,222601216.0,1228513280.0,2439200768.0
12-09 18:33:30,12914130944.0,222617600.0,1228513280.0,2419122176.0
12-09 18:33:40,12934049792.0,222625792.0,1228513280.0,2399195136.0
12-09 18:33:50,12954591232.0,222650368.0,1228509184.0,2378633216.0
12-09 18:34:00,12974632960.0,222666752.0,1228513280.0,2358571008.0
12-09 18:34:10,12995051520.0,222674944.0,1228513280.0,2338144256.0
12-09 18:34:20,13015130112.0,222691328.0,1228513280.0,2318049280.0
12-09 18:34:30,13035405312.0,222707712.0,1228513280.0,2297757696.0
12-09 18:34:40,13055475712.0,222715904.0,1228513280.0,2277679104.0
12-09 18:34:50,13075869696.0,222732288.0,1228513280.0,2257268736.0
12-09 18:35:00,13096034304.0,222756864.0,1228513280.0,2237079552.0
12-09 18:35:10,13116223488.0,222765056.0,1228513280.0,2216882176.0
12-09 18:35:20,13136285696.0,222781440.0,1228505088.0,2196811776.0
12-09 18:35:30,13156450304.0,222797824.0,1228513280.0,2176622592.0
12-09 18:35:40,13176741888.0,222806016.0,1228513280.0,2156322816.0
12-09 18:35:50,13197058048.0,222822400.0,1228513280.0,2135990272.0
12-09 18:36:00,13217357824.0,222838784.0,1228513280.0,2115674112.0
12-09 18:36:10,13229912064.0,222855168.0,1228513280.0,2103103488.0
12-09 18:36:20,13266219008.0,222863360.0,1228513280.0,2066788352.0
12-09 18:36:30,13286264832.0,222879744.0,1228513280.0,2046726144.0
12-09 18:36:40,13306589184.0,222887936.0,1228513280.0,2026393600.0
12-09 18:36:50,13326999552.0,222904320.0,1228513280.0,2005966848.0
12-09 18:37:00,13347545088.0,222928896.0,1228513280.0,1985396736.0
12-09 18:37:10,13367345152.0,222937088.0,1228513280.0,1965588480.0
12-09 18:37:20,13387669504.0,222945280.0,1228513280.0,1945255936.0
12-09 18:37:30,13407956992.0,222961664.0,1228509184.0,1924956160.0
12-09 18:37:40,13427974144.0,222969856.0,1228513280.0,1904926720.0
12-09 18:37:50,13448798208.0,222986240.0,1228513280.0,1884086272.0
12-09 18:38:00,13468336128.0,223002624.0,1228513280.0,1864531968.0
12-09 18:38:10,13489000448.0,223019008.0,1228513280.0,1843851264.0
12-09 18:38:20,13509554176.0,223035392.0,1228513280.0,1823281152.0
12-09 18:38:30,13529718784.0,223051776.0,1228521472.0,1803091968.0
12-09 18:38:40,13549940736.0,223059968.0,1228521472.0,1782861824.0
12-09 18:38:50,13569708032.0,223076352.0,1228521472.0,1763078144.0
12-09 18:39:00,13589999616.0,223084544.0,1228521472.0,1742778368.0
12-09 18:39:10,13610074112.0,223100928.0,1228521472.0,1722687488.0
12-09 18:39:20,13630128128.0,223109120.0,1228521472.0,1702625280.0
12-09 18:39:30,13650436096.0,223125504.0,1228513280.0,1682309120.0
12-09 18:39:40,13668577280.0,223133696.0,1228521472.0,1664151552.0
12-09 18:39:50,13689131008.0,223150080.0,1228521472.0,1643581440.0
12-09 18:40:00,13709471744.0,223158272.0,1228521472.0,1623232512.0
12-09 18:40:10,13730406400.0,223182848.0,1228529664.0,1602265088.0
12-09 18:40:20,13751087104.0,223199232.0,1228529664.0,1581568000.0
12-09 18:40:30,13772148736.0,223215616.0,1228529664.0,1560489984.0
12-09 18:40:40,13791932416.0,223223808.0,1228529664.0,1540698112.0
12-09 18:40:50,13812772864.0,223240192.0,1228529664.0,1519841280.0
12-09 18:41:00,13833437184.0,223256576.0,1228529664.0,1499160576.0
12-09 18:41:10,13852094464.0,223264768.0,1228529664.0,1480495104.0
12-09 18:41:20,13871759360.0,223281152.0,1228529664.0,1460813824.0
12-09 18:41:30,13892071424.0,223305728.0,1228525568.0,1440481280.0
12-09 18:41:40,13912096768.0,223322112.0,1228529664.0,1420435456.0
12-09 18:41:50,13932396544.0,223338496.0,1228529664.0,1400119296.0
12-09 18:42:00,13952847872.0,223363072.0,1228529664.0,1379643392.0
12-09 18:42:10,13972901888.0,223371264.0,1228529664.0,1359581184.0
12-09 18:42:20,13993574400.0,223379456.0,1228529664.0,1338900480.0
12-09 18:42:30,14013509632.0,223404032.0,1228521472.0,1318948864.0
12-09 18:42:40,14033301504.0,223412224.0,1228529664.0,1299140608.0
12-09 18:42:50,14053744640.0,223428608.0,1228529664.0,1278681088.0
12-09 18:43:00,14074028032.0,223444992.0,1228529664.0,1258381312.0
12-09 18:43:10,14094614528.0,223461376.0,1228529664.0,1237778432.0
12-09 18:43:20,14114795520.0,223469568.0,1228529664.0,1217589248.0
12-09 18:43:30,14135095296.0,223485952.0,1228529664.0,1197273088.0
12-09 18:43:40,14155386880.0,223494144.0,1228529664.0,1176973312.0
12-09 18:43:50,14175440896.0,223510528.0,1228529664.0,1156902912.0
12-09 18:44:00,14195896320.0,223522816.0,1228529664.0,1136435200.0
12-09 18:44:10,14216212480.0,223539200.0,1228529664.0,1116102656.0
12-09 18:44:20,14236250112.0,223547392.0,1228529664.0,1096056832.0
12-09 18:44:30,14256820224.0,223563776.0,1228529664.0,1075470336.0
12-09 18:44:40,14276653056.0,223571968.0,1228529664.0,1055629312.0
12-09 18:44:50,14296821760.0,223592448.0,1228529664.0,1035440128.0
12-09 18:45:00,14317256704.0,223600640.0,1228529664.0,1014996992.0
12-09 18:45:10,14337421312.0,223617024.0,1228529664.0,994816000.0
12-09 18:45:20,14357729280.0,223625216.0,1228529664.0,974499840.0
12-09 18:45:30,14378160128.0,223641600.0,1228525568.0,954056704.0
12-09 18:45:40,14398582784.0,223657984.0,1228521472.0,933621760.0
12-09 18:45:50,14418382848.0,223666176.0,1228529664.0,913805312.0
12-09 18:46:00,14438674432.0,223690752.0,1228529664.0,893489152.0
12-09 18:46:10,14459109376.0,223698944.0,1228529664.0,873046016.0
12-09 18:46:20,14479663104.0,223715328.0,1228529664.0,852475904.0
12-09 18:46:30,14499835904.0,223731712.0,1228529664.0,832286720.0
12-09 18:46:40,14520143872.0,223748096.0,1228521472.0,811970560.0
12-09 18:46:50,14540333056.0,223756288.0,1228529664.0,791764992.0
12-09 18:47:00,14560100352.0,223780864.0,1228529664.0,771973120.0
12-09 18:47:10,14580678656.0,223789056.0,1228529664.0,751386624.0
12-09 18:47:20,14601224192.0,223797248.0,1228529664.0,730832896.0
12-09 18:47:30,14621642752.0,223821824.0,1228529664.0,710389760.0
12-09 18:47:40,14641426432.0,223838208.0,1228529664.0,690589696.0
12-09 18:47:50,14661353472.0,223854592.0,1228529664.0,670646272.0
12-09 18:48:00,14680584192.0,223870976.0,1228529664.0,651399168.0
12-09 18:48:10,14698131456.0,223887360.0,1228529664.0,633835520.0
12-09 18:48:20,14718177280.0,223903744.0,1228529664.0,613773312.0
12-09 18:48:30,14737977344.0,223920128.0,1228529664.0,593956864.0
12-09 18:48:40,14758793216.0,223936512.0,1228529664.0,573124608.0
12-09 18:48:50,14779305984.0,223952896.0,1228537856.0,552587264.0
12-09 18:49:00,14799233024.0,223969280.0,1228537856.0,532643840.0
12-09 18:49:10,14819454976.0,223985664.0,1228537856.0,512405504.0
12-09 18:49:20,14840127488.0,223993856.0,1228537856.0,491724800.0
