"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","selact.csc.kth.se",,,,"User:","lindahlm"
"Cmdline:","dstat -tm --output memory_consumption_logs/stat130913085147.csv 10",,,,"Date:","13 Sep 2013 08:51:48 CEST"

"system","memory usage",,,
13-09 08:56:18,2122747904.0,12505088.0,150028288.0,10308292608.0
13-09 08:56:28,2138017792.0,12513280.0,150020096.0,10293022720.0
13-09 08:56:38,2156539904.0,12529664.0,150020096.0,10274484224.0
13-09 08:56:48,2194403328.0,12537856.0,150020096.0,10236612608.0
13-09 08:56:58,2207092736.0,12546048.0,150020096.0,10223915008.0
13-09 08:57:08,2223718400.0,12554240.0,150020096.0,10207281152.0
13-09 08:57:18,2240339968.0,12562432.0,150024192.0,10190647296.0
13-09 08:57:28,2256199680.0,12570624.0,150020096.0,10174783488.0
13-09 08:57:38,2273198080.0,12587008.0,150020096.0,10157768704.0
13-09 08:57:48,2289049600.0,12595200.0,150032384.0,10141896704.0
13-09 08:57:58,2305306624.0,12603392.0,150020096.0,10125643776.0
13-09 08:58:08,2321678336.0,12611584.0,150020096.0,10109263872.0
13-09 08:58:18,2337796096.0,12619776.0,150020096.0,10093137920.0
13-09 08:58:28,2357215232.0,12627968.0,150020096.0,10073710592.0
13-09 08:58:38,2372562944.0,12644352.0,150020096.0,10058346496.0
13-09 08:58:48,2388426752.0,12652544.0,150020096.0,10042474496.0
13-09 08:58:58,2412449792.0,12660736.0,150020096.0,10018443264.0
13-09 08:59:08,2428567552.0,12668928.0,150020096.0,10002317312.0
13-09 08:59:18,2444845056.0,12677120.0,149987328.0,9986064384.0
13-09 08:59:28,2461057024.0,12685312.0,150020096.0,9969811456.0
13-09 08:59:38,2480877568.0,12701696.0,150016000.0,9949978624.0
13-09 08:59:48,2496716800.0,12709888.0,150040576.0,9934106624.0
13-09 08:59:58,2516537344.0,12718080.0,150020096.0,9914298368.0
13-09 09:00:08,2532401152.0,12726272.0,150020096.0,9898426368.0
13-09 09:00:18,2548133888.0,12734464.0,150024192.0,9882681344.0
13-09 09:00:28,2563715072.0,12742656.0,150020096.0,9867096064.0
13-09 09:00:38,2579697664.0,12759040.0,150020096.0,9851097088.0
13-09 09:00:48,2595328000.0,12767232.0,149999616.0,9835479040.0
13-09 09:00:58,2611171328.0,12775424.0,150020096.0,9819607040.0
13-09 09:01:08,2626781184.0,12783616.0,150020096.0,9803988992.0
13-09 09:01:18,2642259968.0,12791808.0,150024192.0,9788497920.0
13-09 09:01:28,2657992704.0,12800000.0,150028288.0,9772752896.0
13-09 09:01:38,2673975296.0,12816384.0,150028288.0,9756753920.0
13-09 09:01:48,2690015232.0,12824576.0,149979136.0,9740754944.0
13-09 09:01:58,2705694720.0,12832768.0,150028288.0,9725018112.0
13-09 09:02:08,2720796672.0,12840960.0,150028288.0,9709907968.0
13-09 09:02:18,2735927296.0,12857344.0,149999616.0,9694789632.0
13-09 09:02:28,2751127552.0,12865536.0,150028288.0,9679552512.0
13-09 09:02:38,2766221312.0,12881920.0,150028288.0,9664442368.0
13-09 09:02:48,2781315072.0,12890112.0,150036480.0,9649332224.0
13-09 09:02:58,2796806144.0,12898304.0,150028288.0,9633841152.0
13-09 09:03:08,2812280832.0,12914688.0,150028288.0,9618350080.0
13-09 09:03:18,2827378688.0,12922880.0,150032384.0,9603239936.0
13-09 09:03:28,2848706560.0,12931072.0,150028288.0,9581907968.0
13-09 09:03:38,2863697920.0,12947456.0,150003712.0,9566924800.0
13-09 09:03:48,2878726144.0,12955648.0,149950464.0,9551941632.0
13-09 09:03:58,2893242368.0,12963840.0,150028288.0,9537339392.0
13-09 09:04:08,2908217344.0,12972032.0,150028288.0,9522356224.0
13-09 09:04:18,2923192320.0,12980224.0,150028288.0,9507373056.0
13-09 09:04:28,2938286080.0,12996608.0,150028288.0,9492262912.0
13-09 09:04:38,2978521088.0,13012992.0,150028288.0,9452011520.0
13-09 09:04:48,2992128000.0,13021184.0,149999616.0,9438425088.0
13-09 09:04:58,1742315520.0,13062144.0,153247744.0,10684948480.0
13-09 09:05:08,1743237120.0,13078528.0,153145344.0,10684112896.0
13-09 09:05:18,1743155200.0,13086720.0,153083904.0,10684248064.0
13-09 09:05:28,1743085568.0,13094912.0,153145344.0,10684248064.0
13-09 09:05:38,1743228928.0,13111296.0,153145344.0,10684088320.0
13-09 09:05:48,1743216640.0,13119488.0,153149440.0,10684088320.0
13-09 09:05:58,1762545664.0,13127680.0,153145344.0,10664755200.0
13-09 09:06:08,1786281984.0,13135872.0,153145344.0,10641010688.0
13-09 09:06:18,1807503360.0,13144064.0,153120768.0,10619805696.0
13-09 09:06:28,1823850496.0,13152256.0,153145344.0,10603425792.0
13-09 09:06:38,1860308992.0,13168640.0,153145344.0,10566950912.0
13-09 09:06:48,1883533312.0,13176832.0,153149440.0,10543714304.0
13-09 09:06:58,1907400704.0,13185024.0,153145344.0,10519842816.0
13-09 09:07:08,1924915200.0,13193216.0,153145344.0,10502320128.0
13-09 09:07:18,1954721792.0,13201408.0,153169920.0,10472480768.0
13-09 09:07:28,1980420096.0,13209600.0,153145344.0,10446798848.0
13-09 09:07:38,1989165056.0,13225984.0,153145344.0,10438037504.0
13-09 09:07:48,1998155776.0,13242368.0,153153536.0,10429022208.0
13-09 09:07:58,2049073152.0,13250560.0,153145344.0,10378104832.0
13-09 09:08:08,2064568320.0,13422592.0,164524032.0,10351058944.0
13-09 09:08:18,2126028800.0,14086144.0,178483200.0,10274975744.0
13-09 09:08:28,2150281216.0,19099648.0,212484096.0,10211708928.0
13-09 09:08:38,2345181184.0,21442560.0,279867392.0,9947082752.0
13-09 09:08:48,2365173760.0,21663744.0,291713024.0,9915023360.0
13-09 09:08:58,2495426560.0,22908928.0,337928192.0,9737310208.0
13-09 09:09:08,2549264384.0,24150016.0,389427200.0,9630732288.0
13-09 09:09:18,2780606464.0,24748032.0,432652288.0,9355567104.0
13-09 09:09:28,2887110656.0,25051136.0,464150528.0,9217261568.0
13-09 09:09:38,3002187776.0,26574848.0,541085696.0,9023725568.0
13-09 09:09:48,3112751104.0,31854592.0,587943936.0,8861024256.0
13-09 09:09:58,3148677120.0,44961792.0,599998464.0,8799936512.0
13-09 09:10:08,3246727168.0,45875200.0,662044672.0,8638926848.0
13-09 09:10:18,3421446144.0,46813184.0,775208960.0,8350105600.0
13-09 09:10:28,3443826688.0,47816704.0,830087168.0,8271843328.0
13-09 09:10:38,3463118848.0,48705536.0,876593152.0,8205156352.0
13-09 09:10:48,3481538560.0,49442816.0,908439552.0,8154152960.0
13-09 09:10:58,3493724160.0,49459200.0,908451840.0,8141938688.0
13-09 09:11:08,3259486208.0,49479680.0,908898304.0,8375709696.0
13-09 09:11:18,3272757248.0,49487872.0,908910592.0,8362418176.0
13-09 09:11:28,3284254720.0,49500160.0,908935168.0,8350883840.0
13-09 09:11:38,3314520064.0,49516544.0,908935168.0,8320602112.0
13-09 09:11:48,3327770624.0,49524736.0,909008896.0,8307269632.0
13-09 09:11:58,3339046912.0,49537024.0,909172736.0,8295817216.0
13-09 09:12:08,3355103232.0,49553408.0,909180928.0,8279736320.0
13-09 09:12:18,3366821888.0,49573888.0,909283328.0,8267894784.0
13-09 09:12:28,3379974144.0,49602560.0,909348864.0,8254648320.0
13-09 09:12:38,3392356352.0,49618944.0,909348864.0,8242249728.0
13-09 09:12:48,3407073280.0,49676288.0,909668352.0,8227155968.0
13-09 09:12:58,3419680768.0,49692672.0,909996032.0,8214204416.0
13-09 09:13:08,3434369024.0,49700864.0,910565376.0,8198938624.0
13-09 09:13:18,3446538240.0,49717248.0,910774272.0,8186544128.0
13-09 09:13:28,3509178368.0,49737728.0,911523840.0,8123133952.0
13-09 09:13:38,3525271552.0,49754112.0,911646720.0,8106901504.0
13-09 09:13:48,3541118976.0,49770496.0,911646720.0,8091037696.0
13-09 09:13:58,3556462592.0,49790976.0,911765504.0,8075554816.0
13-09 09:14:08,3570597888.0,49823744.0,912039936.0,8061112320.0
13-09 09:14:18,3586732032.0,49840128.0,912031744.0,8044969984.0
13-09 09:14:28,3601178624.0,49848320.0,912039936.0,8030507008.0
13-09 09:14:38,3618951168.0,49864704.0,912211968.0,8012546048.0
13-09 09:14:48,3625791488.0,49922048.0,923430912.0,7994429440.0
13-09 09:14:58,3640864768.0,49938432.0,923430912.0,7979339776.0
13-09 09:15:08,3655708672.0,49946624.0,923557888.0,7964360704.0
13-09 09:15:18,3670786048.0,49958912.0,923553792.0,7949275136.0
13-09 09:15:28,3933663232.0,49987584.0,923561984.0,7686361088.0
13-09 09:15:38,3949268992.0,50012160.0,923561984.0,7670730752.0
13-09 09:15:48,3928768512.0,50028544.0,923561984.0,7691214848.0
13-09 09:15:58,3944386560.0,50049024.0,923639808.0,7675498496.0
13-09 09:16:08,3959828480.0,50057216.0,923639808.0,7660048384.0
13-09 09:16:18,3975581696.0,50065408.0,923639808.0,7644286976.0
13-09 09:16:28,3995045888.0,50081792.0,923648000.0,7624798208.0
13-09 09:16:38,4010967040.0,50106368.0,923648000.0,7608852480.0
13-09 09:16:48,4027142144.0,50126848.0,924229632.0,7592075264.0
13-09 09:16:58,4043313152.0,50143232.0,924246016.0,7575871488.0
13-09 09:17:08,4057243648.0,50163712.0,924336128.0,7561830400.0
13-09 09:17:18,4072726528.0,50171904.0,924336128.0,7546339328.0
13-09 09:17:28,4088311808.0,50196480.0,924336128.0,7530729472.0
13-09 09:17:38,4112547840.0,50212864.0,924336128.0,7506477056.0
13-09 09:17:48,4126674944.0,50221056.0,924413952.0,7492263936.0
